5,0,0,800,40
5,0,0,40,800
5,0,760,800,800
5,760,0,800,800
5,40,120,360,40
5,240,200,520,40
5,40,280,400,40
5,320,360,440,40
5,40,440,640,40
5,720,440,40,40
0,40,40,80,80
4,720,0,760,40
1,400,40,440,80
1,520,40,560,80
1,80,240,120,280
1,80,240,120,280
1,120,240,160,280
1,160,240,200,280
1,600,520,640,560
1,640,520,680,560
1,680,520,720,560
2,440,80,480,120
2,560,80,600,120
2,600,240,640,280
2,680,280,720,320
2,560,320,600,360
2,600,560,640,600
2,640,560,680,600
2,680,560,720,600
3,520,120,560,160
3,600,120,640,160
3,80,160,120,200
3,120,160,160,200
3,160,160,200,200
3,600,480,640,520
3,640,480,680,520
3,680,480,720,520
