5,0,0,800,40
5,0,0,40,800
5,0,760,800,800
5,760,0,800,800
5,40,80,240,40
5,320,80,280,40
5,640,80,120,40
5,80,160,200,40
5,480,160,200,40
5,80,160,40,320
5,240,160,40,320
5,480,160,40,320
5,640,160,40,320
5,40,560,320,40
5,400,560,360,40
5,80,640,400,40
5,520,640,200,40
5,160,720,480,760
0,40,40,80,80
4,760,40,800,80
1,280,80,320,120
1,120,200,160,240
1,120,240,160,280
1,120,280,160,320
1,600,200,640,240
1,600,240,640,280
1,600,280,640,320
1,480,640,520,680
1,640,720,680,760
2,600,80,640,120
2,360,240,400,280
2,160,200,200,240
2,160,240,200,280
2,160,280,200,320
2,560,200,600,240
2,560,240,600,280
2,560,280,600,320
2,40,640,80,680
3,360,40,400,80
3,200,200,240,240
3,200,240,240,280
3,200,280,240,320
3,520,200,560,240
3,520,240,560,280
3,520,280,560,320
3,720,640,760,680
3,120,720,160,760
